title,release_date,release_year,popularity,vote_count,vote_average,names_actors,name_director,budget,revenue,return
Witness,1985-02-08,1985,10.312017,390.0,7.0,"['Harrison Ford', 'Kelly McGillis', 'Josef Sommer', 'Lukas Haas', 'Jan Rubes', 'Alexander Godunov', 'Danny Glover', 'Brent Jennings', 'Patti LuPone', 'Angus MacInnes', 'Frederick Rolf', 'Viggo Mortensen', 'John Garson', 'Beverly May', 'Ed Crowley', 'Timothy Carhart', 'Sylvia Kauders', 'Robert Earl Jones']",Peter Weir,12000000.0,68706993.0,5.72558275
Margaret,2011-09-30,2011,5.113573,86.0,6.1,"['Anna Paquin', 'Matt Damon', 'Mark Ruffalo', 'Matthew Broderick', 'Jeannie Berlin', 'Jean Reno', 'Kieran Culkin', 'Olivia Thirlby', 'John Gallagher Jr.', 'Rosemarie DeWitt', 'J. Smith-Cameron', 'Sarah Steele', 'Krysten Ritter', 'Allison Janney', 'Josh Hamilton', 'Kenneth Lonergan', 'Hina Abdullah', 'Enid Graham', 'Brittany Underwood', 'Kelly Wolf', 'Liza Colón-Zayas', 'Michael Ealy']",Kenneth Lonergan,14000000.0,46495.0,0.0033210714285714284
"Tomorrow, When the War Began",2010-08-08,2010,4.983475,195.0,6.2,"['Caitlin Stasey', 'Rachel Hurd-Wood', 'Phoebe Tonkin', 'Deniz Akdeniz', 'Lincoln Lewis', 'Chris Pang', 'Ashleigh Cummings', 'Andrew Ryan', 'Colin Friels', 'Don Halbert', 'Olivia Pigeot']",Stuart Beattie,27000000.0,16504936.0,0.6112939259259259
American Psycho,2000-04-13,2000,13.686715,2128.0,7.3,"['Christian Bale', 'Willem Dafoe', 'Jared Leto', 'Josh Lucas', 'Samantha Mathis', 'Matt Ross', 'Bill Sage', 'Chloë Sevigny', 'Cara Seymour', 'Justin Theroux', 'Guinevere Turner', 'Reese Witherspoon', 'Stephen Bogaert', 'Monika Meier', 'Reg E. Cathey', 'Marie Dame', 'Patricia Gage', 'Krista Sutton', 'Catherine Black']",Mary Harron,7000000.0,34266564.0,4.895223428571429
Baarìa,2009-09-02,2009,7.109369,124.0,7.1,"['Francesco Scianna', 'Margareth Madè', 'Lina Sastri', 'Ángela Molina', 'Nicole Grimaudo', 'Salvatore Ficarra', 'Valentino Picone', 'Gaetano Aronica', 'Marco Iermanò', 'Lollo Franco', 'Gisella Marengo', 'Raoul Bova', 'Aldo Baglio', 'Paolo Briguglia', 'Fabrizio Romano', 'Luigi Maria Burruano', 'Laura Chiatti', 'Giorgio Faletti', 'Donatella Finocchiaro', 'Beppe Fiorello', 'Corrado Fortuna', 'Nino Frassica', 'Leo Gullotta', 'Gabriele Lavia', 'Luigi Lo Cascio', 'Enrico Lo Verso', 'Marcello Mazzarella', 'Vincenzo Salemme', 'Monica Bellucci', 'Gabriele Lavia', 'Michele Placido', 'Tony Sperandeo', 'Sebastiano Lo Monaco', 'Enrico Salimbeni', 'Alessandro Di Carlo', 'Alessandro Schiavo', 'Orio Scaduto', 'Elena Russo', 'Nino Russo', 'Domenico Centamore', 'Manuela Spartà', 'Alfio Sorbello', 'Gaetano Balistreri']",Giuseppe Tornatore,35000000.0,0.0,0.0
Kambakkht Ishq,2009-07-03,2009,2.024764,15.0,4.3,"['Akshay Kumar', 'Kareena Kapoor', 'Sylvester Stallone', 'Whoopi Goldberg', 'Denise Richards', 'Aftab Shivdasani', 'Amrita Arora', 'Brandon Routh', 'Holly Valance', 'Boman Irani', 'Kirron Kher', 'Javed Jaffrey']",Sabbir Khan,16000000.0,0.0,0.0
The Boost,1988-12-23,1988,0.964399,12.0,5.3,"['Sean Young', 'James Woods', 'John Kapelos', 'Grace Zabriskie', 'David Preston', 'John Rothman']",Harold Becker,8000000.0,784990.0,0.09812375
Ink,2009-01-23,2009,5.124589,102.0,6.5,"['Chris Kelly', 'Jessica Duffy', 'Quinn Hunchar', 'Jeremy Make', 'Jennifer Batter', 'Eme Ikwuakor', 'Shelby Malone', 'Steve Sealy', 'Shannan Steele', 'Steven Brown', 'Shauna Earp', 'Marty Lindsey']",Jamin Winans,250000.0,0.0,0.0
Spy Kids: All the Time in the World,2011-08-18,2011,9.580214,228.0,4.4,"['Jessica Alba', 'Mason Cook', 'Rowan Blanchard', 'Joel McHale', 'Jeremy Piven', 'Alexa PenaVega', 'Daryl Sabara', 'Ricky Gervais', 'Danny Trejo', 'Antonio Banderas', 'Marci Madison']",Robert Rodriguez,27000000.0,85564310.0,3.1690485185185184
L!fe Happens,2011-06-18,2011,10.114319,66.0,5.3,"['Krysten Ritter', 'Kate Bosworth', 'Rachel Bilson', 'Geoff Stults', 'Justin Kirk', 'Fallon Goodson', 'Andrea Savage', 'Kristen Johnston', 'Rhys Coiro', 'Seymour Cassel', 'Louis Silvers', 'Jason Biggs', 'Marguerite Moreau', 'Colin Egglesfield', 'Ivan Shaw', 'Lauren Conrad Tell', 'Katie Morgan', 'Nic Novicki', 'Merrin Dungey', 'Laura Silverman', 'Abby Brammell', 'Jenny Mollen', 'Bruce Robert Cole', 'Milana Vayntrub', 'Devan Leos']",Kat Coiro,930000.0,30905.0,0.03323118279569892
The Makeover,2013-01-26,2013,5.152674,25.0,5.5,"['Julia Stiles', 'Camryn Manheim', 'Frances Fisher', 'David Walton', 'Gary Galone', 'Bri DiMattio', 'Christopher Tarjan']",John Gray,8000000.0,0.0,0.0
Mission: Impossible,1996-05-22,1996,15.793477,2677.0,6.7,"['Tom Cruise', 'Jon Voight', 'Emmanuelle Béart', 'Henry Czerny', 'Jean Reno', 'Ving Rhames', 'Kristin Scott Thomas', 'Vanessa Redgrave', 'Dale Dye', 'Marcel Iureș', 'Ion Caramitru', 'Ingeborga Dapkunaite', 'Valentina Yakunina', 'Marek Vašut', 'Nathan Osgood', 'Emilio Estevez', 'Michael Rogers', 'Keith Campbell', 'John McLaughlin', 'Karel Dobrý', 'Andreas Wisniewski', 'Ricco Ross', 'Mark Houghton', 'Annabel Mullion', 'Garrick Hagon', 'Olegar Fedoro', 'David Schneider', 'Helen Lindsay', 'John Knoll', 'Rolf Saxon']",Brian De Palma,80000000.0,457696359.0,5.7212044875
Operações Especiais,2015-10-07,2015,2.514515,31.0,6.8,"['Cléo Pires', 'Fabrício Boliveira', 'Thiago Martins', 'Marcos Caruso', 'Fabiula Nascimento', 'Fábio Lago', 'Antonio Tabet']",Tomas Portella,6000000.0,0.0,0.0
Hunger,2009-05-12,2009,3.232681,36.0,5.7,"['Lori Heuring', 'Linden Ashby', 'Joe Egender', 'Lea Kohl', 'Julian Rojas', 'Bjorn Johnson', 'Britton Partain', 'Laura Albyn', 'John Cooley', 'Ian Hopper', 'Kathy Shea', 'Kayden Sawyer', 'Yvonne Stancil', 'Kevin Shaver', 'Gabe Kittle']",Steven Hentges,625000.0,0.0,0.0
In the Cut,2003-09-09,2003,5.799628,93.0,4.7,"['Meg Ryan', 'Mark Ruffalo', 'Jennifer Jason Leigh', 'Nick Damici', 'Heather Litteer', 'Kevin Bacon']",Jane Campion,12000000.0,23.0,1.916666666666667e-06
Funny People,2009-07-31,2009,9.900376,398.0,5.6,"['Adam Sandler', 'Seth Rogen', 'Leslie Mann', 'Eric Bana', 'Jonah Hill', 'Jason Schwartzman', 'RZA', 'Aziz Ansari', 'Aubrey Plaza', 'Maude Apatow', 'Iris Apatow', 'Nicole Parker', 'Nydia McFadden', 'Torsten Voges', 'Allan Wasserman', 'Wayne Federman', 'James Taylor', 'Paul Reiser', 'George Wallace', 'Norm Macdonald', 'Dave Attell', 'Eminem', 'Sarah Silverman', 'Ray Romano', 'Rod Man', 'Monty Hoffman', 'Charles Fleischer', 'Andy Dick', 'Budd Friedman', 'Carol Leifer', 'Mark Schiff', 'Jon Brion', 'James Gadson', 'Orny Adams', 'Jerry Minor', 'Al Lubel', 'Luis Conte', 'Russ Kunkel', 'Andrea Zonn', 'Jimmy Johnson', 'Maggie Siff', 'Nicol Paone', 'George Coe', 'Bryan Batt', ""Mike O'Connell"", 'Phillip Andre Botello', 'Arshad Aslam', 'Bo Burnham', 'Miki Ishikawa', 'Kenny Copeland Jr.', 'Calvin Sykes', ""Ca'Shawn Sims"", 'Mandi Kreisher', 'Ernest Lee Thomas', 'Carla Gallo', 'Tonita Castro', 'Steve Bannos', 'Justin Long', 'Lucas Dick', 'Tyler Spindel', 'Elaine Kao', 'King Kedar', 'Tanya Acker', 'Jarrett Grode', 'Qiana Chase', 'John Hartmann', 'Dave Rath', 'Dan Harmon', 'Kyle Kinane', 'Mark Cohen', 'Joanie Marx', 'Adam J. Bernstein', ""Da'Vone McDonald"", 'Eleanor Zee', 'Ben Meyerson', 'Sammy Jack', 'Brian Lally', 'Brad Grunberg']",Judd Apatow,75000000.0,61458982.0,0.8194530933333334
Analyze That,2002-12-06,2002,9.927412,385.0,5.7,"['Robert De Niro', 'Billy Crystal', 'Lisa Kudrow', 'Joe Viterelli', 'Cathy Moriarty', 'Donna Marie Recco', 'Kyle Sabihy', 'Frank Pietrangolare', 'Jerome Le Page', 'Annika Pergament']",Harold Ramis,60000000.0,55003135.0,0.9167189166666667
Arthur & Merlin,2015-04-17,2015,0.868019,14.0,5.4,"['Kirk Barker', 'Stefan Buttler', 'Adrian Bouchet', 'David Sterne', 'Nigel Cooke', 'Charlotte Brimble', 'Nicholas Asbury', 'Andrew Grose', 'Garth Maunders', 'Joseph Attenborough', 'Jack Rigby', 'Alison Harris']",Marco van Belle,3000000.0,0.0,0.0
Grandma,2015-06-04,2015,4.565414,143.0,6.1,"['Lily Tomlin', 'Julia Garner', 'Marcia Gay Harden', 'Judy Greer', 'Laverne Cox', 'Elizabeth Peña', 'Sarah Burns', 'Colleen Camp', 'Lauren Tom', 'Judy Geeson', 'Frank Collison', 'Sam Elliott', 'Carlos Miranda', 'John Cho', 'Nat Wolff', 'Aaron Bilyeu', 'Mo Aboul-Zelof', 'Missy Doty', 'Don McManus', 'Willem Miller', 'Skya Chanadet', 'Sarah Burns', 'Meg Crosbie', 'Kelsey Scott', 'Marlene Martinez', 'Reggie Watkins', 'Amir Talai']",Paul Weitz,600000.0,7087452.0,11.81242
A Nightmare on Elm Street Part 2: Freddy's Revenge,1985-10-31,1985,8.668146,367.0,5.7,"['Robert Englund', 'Mark Patton', 'Kim Myers', 'Robert Rusler', 'Clu Gulager', 'Hope Lange', 'Marshall Bell', 'Melinda O. Fee', 'Tom McFadden', 'Sydney Walsh', 'Edward Blackoff', 'Christie Clark', 'Lyman Ward', 'Donna Bruce', 'Hart Sprager', 'Allison Barron', 'JoAnn Willette', 'Steve Eastin', 'Brian Wimmer', 'Robert Chaskin', 'Kerry Remsen', 'Kimberly Lynn', 'Steven Smith', 'Jonathan Hart', 'Tom Tangen', 'Robert Shaye']",Jack Sholder,3000000.0,29999213.0,9.999737666666666
Apollo 18,2011-07-20,2011,10.711742,359.0,5.0,"['Ryan Robbins', 'Warren Christie', 'Lloyd Owen', 'Andrew Airlie', 'Michael Kopsa', 'Ali Liebert', 'Kurt Max Runte', 'Kim Wylie', 'Noah Wylie', 'Erica Carroll', 'Jan Bos']",Gonzalo López-Gallego,5000000.0,25562924.0,5.1125848
Killing Them Softly,2012-09-20,2012,6.777326,751.0,5.8,"['Brad Pitt', 'Scoot McNairy', 'Ben Mendelsohn', 'James Gandolfini', 'Ray Liotta', 'Richard Jenkins', 'Vincent Curatola', 'Sam Shepard', 'Slaine', 'Max Casella', 'Trevor Long', 'Linara Washington', 'Ross Brodar', 'Wade Allen', 'Christopher Berry', 'Kenneth Brown Jr.', 'Mustafa Harris', 'John McConnell', 'Dared Wright', 'Joe Chrest']",Andrew Dominik,15000000.0,37930465.0,2.5286976666666665
Stolen,2009-10-10,2009,2.300459,28.0,6.5,"['Jon Hamm', 'Josh Lucas', 'Rhona Mitra', 'James Van Der Beek', 'Jessica Chastain', 'Joanna Cassidy', 'Jimmy Bennett', 'Morena Baccarin', 'Michael Cudlitz', 'Beth Grant']",Anders Anderson,2000000.0,7306.0,0.003653
Stigmata,1999-09-10,1999,9.304144,248.0,6.0,"['Patricia Arquette', 'Gabriel Byrne', 'Jonathan Pryce', 'Nia Long', 'Thomas Kopache', 'Rade Serbedzija', 'Enrico Colantoni', 'Dick Latessa', 'Portia de Rossi', 'Patrick Muldoon', 'Ann Cusack', 'Shaun Toub', 'Tom Hodges', 'Lydia Hazan', 'Shaun Duke']",Rupert Wainwright,29000000.0,50041732.0,1.7255769655172415
The Bounty Hunter,2010-03-16,2010,6.715263,878.0,5.6,"['Gerard Butler', 'Jennifer Aniston', 'Gio Perez', 'Siobhan Fallon', 'Joel Garland', 'Jason Kolotouros', 'Matt Malloy', 'Jason Sudeikis', 'Adam Rose', 'Christine Baranski', 'Dorian Missick', 'David Costabile', 'Lynda Gravatt', 'Peter Greene', 'Jeff Garlin', 'Charlie Hewson', 'Charles Techman', 'Lou Sumrall']",Andy Tennant,40000000.0,136000000.0,3.4
The Wild,2006-03-06,2006,7.904333,246.0,5.1,"['Kiefer Sutherland', 'Jim Belushi', 'Eddie Izzard', 'Janeane Garofalo', 'William Shatner', 'Richard Kind', 'Greg Cipes', 'Colin Hay', 'Miles Marsico', 'Jack De Sena', 'Don Cherry', 'Christian Argueta', 'David Cowgill', 'Lenny Venito', 'Joseph Siravo', 'Colin Cunningham', 'Patrick Warburton', 'Jonathan Kimmel', 'Eddie Gossling', 'Clinton Leupp', 'Jason Harris']",Steve 'Spaz' Williams,80000000.0,37384046.0,0.467300575
Lights in the Dusk,2006-02-03,2006,2.329388,27.0,6.6,"['Janne Hyytiäinen', 'Maria Heiskanen', 'Maria Järvenhelmi', 'Ilkka Koivula', 'Kati Outinen', 'Vesa Häkli']",Aki Kaurismäki,1380000.0,1615018.0,1.1703028985507247
Mr. Deeds,2002-06-28,2002,6.674356,660.0,5.6,"['Adam Sandler', 'Winona Ryder', 'John Turturro', 'Allen Covert', 'Peter Gallagher', 'Erick Avari', 'Jared Harris', 'Steve Buscemi', 'Conchata Ferrell', 'Peter Dante', 'Harve Presnell', 'Brandon Molale', 'John McEnroe']",Steven Brill,50000000.0,171269535.0,3.4253907
The Hollywood Knights,1980-05-30,1980,2.599219,18.0,6.4,"['Robert Wuhl', 'Tony Danza', 'Fran Drescher', 'Michelle Pfeiffer', 'Joyce Hyser', 'Hoyt Axton', 'Gary Graham', 'Stuart Pankin', 'Otis Young']",Floyd Mutrux,2500000.0,10000000.0,4.0
Poison Ivy: The Secret Society,2008-07-27,2008,2.84929,12.0,4.2,"['Miriam McDonald', 'Shawna Waldron', 'Ryan Kennedy', 'Crystal Lowe', 'Andrea Whitburn', 'Greg Evigan', 'Catherine Hicks', 'Bridie Lunde', 'Michaela Mann']",Jason Hreno,1999000.0,0.0,0.0
The Pit and the Pendulum,1991-06-27,1991,2.252625,29.0,5.7,"['Lance Henriksen', 'Stephen Lee', 'William J. Norris', 'Mark Margolis', 'Carolyn Purdy-Gordon', 'Barbara Bocci', 'Benito Stefanelli', 'Jeffrey Combs', 'Tom Towles', 'Rona De Ricci', 'Jonathan Fuller', 'Oliver Reed', 'Larry Dolgin', 'Frances Bay', 'Fabio Carfora']",Stuart Gordon,2000000.0,0.0,0.0
Alice Through the Looking Glass,2016-05-25,2016,14.61608,1782.0,6.5,"['Johnny Depp', 'Mia Wasikowska', 'Anne Hathaway', 'Helena Bonham Carter', 'Alan Rickman', 'Michael Sheen', 'Sacha Baron Cohen', 'Andrew Scott', 'Toby Jones', 'Rhys Ifans', 'Timothy Spall', 'Ed Speleers', 'Stephen Fry', 'Lindsay Duncan', 'Matt Lucas', 'Tom Godwin', 'Richard Armitage', 'Amelia Crouch', 'Leilah de Meza', 'Geraldine James', 'Leo Bill', 'Barbara Windsor', 'Meera Syal', 'Hattie Morahan', 'Simone Kirby', 'Siobhan Redmond', 'Frances de la Tour', 'Paul Whitehouse', 'Michael Sheen', 'Matt Vogel', 'Paul Hunter', 'Wally Wingert', 'Louis Ashbourne Serkis', 'Joanna Bobin', 'Joe Hurst', 'Oliver Hawkes', 'Frederick Warder', 'Eve Hedderwick Turner', 'Daniel Hoffmann-Gill', 'Jamie Baughan', 'Matt Wilman', 'Siobhan McSweeney', 'Owain Rhys Davies', 'Edward Petherbridge', 'Richard Syms', 'Neil Edmond', 'Bill Thomas', 'Carol Been', 'Ross Carpenter', 'Melissa Collier', 'Heather Craig', 'Janine Craig', 'Leigh Daniels', 'Jules Davison', 'Matt Dempsey', 'Nikki Dunsford', 'Stephanie Elstob', 'Steve Fortune', 'Jane Fowler', 'Adam Galbraith', 'Chris Grierson', 'Dale Mercer', 'William Mowat', 'Cris Penfold', 'Kraig Thornber', 'Carl Walker', 'Claire Winsper', 'Freddie Andrews', 'Isaac Andrews', 'Lasco Atkins', 'Lauren Beacham', 'Alexander Bracq', 'Austin Burrows', 'Adam Burton', 'Sarah Butterworth', 'Yue Ting Cheng', 'Frances de la Tour', 'Angela Dee', 'Karl Farrer', 'Wayne Gibbon', 'Ross Green', 'Jacob Greener-Tofts', 'Kyle Hebert', 'Matt Hookings', 'Bomber Hurley-Smith', 'Mark Jury', 'Minouche Kaftel', 'Martyn Mayger', 'Alida Pantone', 'Alexander James Rodriguez', 'Riku Rokkanen', 'Steve Saunders', 'Mike Simmrin', 'Karol Steele', 'Daniel Westwood', 'Tom Whelehan', ""Christian Wolf-La'Moy "", 'Charlotte Worwood']",James Bobin,170000000.0,299370084.0,1.7610004941176471
In the Heart of the Sea,2015-11-20,2015,11.696923,1300.0,6.5,"['Chris Hemsworth', 'Benjamin Walker', 'Cillian Murphy', 'Brendan Gleeson', 'Ben Whishaw', 'Michelle Fairley', 'Tom Holland', 'Paul Anderson', 'Frank Dillane', 'Joseph Mawle', 'Edward Ashley', 'Sam Keeley', 'Osy Ikhile', 'Gary Beadle', 'Jamie Sives', 'Morgan Chetcuti', 'Charlotte Riley', 'Nicholas Jones', 'Donald Sumpter', 'Richard Bremmer', 'Jordi Mollà', 'Hayley Joanne Bacon', 'Andrew Crayford', 'Claudia Newman', 'Daniel Westwood', 'Andy Wareham']",Ron Howard,100000000.0,93820758.0,0.93820758
Baywatch,2017-05-12,2017,35.637691,1829.0,6.1,"['Dwayne Johnson', 'Zac Efron', 'Alexandra Daddario', 'Kelly Rohrbach', 'Priyanka Chopra', 'Jon Bass', 'Ilfenesh Hadera', 'Rob Huebel', 'Yahya Abdul-Mateen II', 'John Cenatiempo', 'Pamela Anderson', 'Hannibal Buress', 'Charlotte McKinney', 'Jack Kesy', 'David Hasselhoff', 'Izabel Goulart', 'Ana Flavia Gavlak', 'Angelique Kenney', 'Oscar Nunez', 'Brandon Larracuente', 'Maegan Vogel', 'Haviland Stillwell', 'Kera Lynn', 'Whitney Goin', 'Amin Joseph', 'Belinda', 'Lee Hodge', 'Earl Poitier', 'Shay Davila', 'Barbara Vincent', 'Damon Preston', 'Bria Danielle Davis', 'Cody Scott', 'Samantha Harris', 'Seth Gordon', 'Brenda Lowe', 'Pedro Anaya Pérez', 'Vincenzo Hinckley', 'Arian Foster', 'Karin Silvestri', 'Tamila Bilalova', 'Casey McCullum', 'Zachary Vazquez']",Seth Gordon,69000000.0,177856751.0,2.577634072463768
Osama,2003-05-20,2003,2.066368,33.0,6.3,"['Marina Golbahari', 'Arif Herati', 'Zubaida Sahar', 'Mohammad Nadir Khwaja']",Siddiq Barmak,46000.0,0.0,0.0
The Covenant,2006-09-08,2006,12.72212,295.0,5.2,"['Steven Strait', 'Laura Ramsey', 'Jessica Lucas', 'Taylor Kitsch', 'Chace Crawford', 'Sebastian Stan', 'Toby Hemingway', 'Kyle Schmid', 'Wendy Crewson', 'Stephen McHattie', 'Kenneth Welsh', 'Basia Jasinski', 'Christian Baril', 'Larry Day', 'Steven Crowder', 'Robert Crooks', 'Rob Burns', 'Jonathan Deveau', 'Vito DeFilippo', 'Frank Fontaine']",Renny Harlin,20000000.0,37597471.0,1.87987355
The Boondock Saints,1999-01-22,1999,12.457908,848.0,7.2,"['Willem Dafoe', 'Norman Reedus', 'Sean Patrick Flanery', 'David Della Rocco', 'David Ferry', 'Brian Mahoney', 'Billy Connolly', 'Carlo Rota', 'Ron Jeremy', 'Bob Marley', 'Richard Fitzpatrick', 'Robert Pemberton', 'Dot Jones', 'Markus Parilo', 'Jeffrey R. Smith']",Troy Duffy,6000000.0,30471.0,0.0050785
Following,1998-09-12,1998,5.283661,363.0,7.2,"['Jeremy Theobald', 'Alex Haw', 'Lucy Russell', 'John Nolan', 'Dick Bradsell', 'Gillian El-Kadi', 'Jennifer Angel', 'Nicolas Carlotti', 'Darren Ormandy', 'Guy Greenway', 'Tassos Stevens', 'Tristan Martin', 'Rebecca James', 'Paul Mason', 'David Bovill']",Christopher Nolan,6000.0,48482.0,8.080333333333334
Carnage,2011-09-16,2011,8.844835,760.0,7.0,"['Kate Winslet', 'Jodie Foster', 'Christoph Waltz', 'John C. Reilly', 'Elvis Polanski', 'Eliot Berger']",Roman Polanski,25000000.0,27603069.0,1.10412276
The Crush,1993-04-02,1993,8.976337,65.0,5.5,"['Cary Elwes', 'Alicia Silverstone', 'Jennifer Rubin', 'Kurtwood Smith', 'Amber Benson', 'Gwynyth Walsh', 'Matthew Walker', 'Deborah Hancock', 'Beverley Elliott', 'Andrew Airlie', 'Sheila Paterson', 'Brent Chapman', 'James Kidnie']",Alan Shapiro,6000000.0,13609396.0,2.2682326666666666
11.22.63,2016-02-15,2016,5.791978,213.0,8.0,"['James Franco', 'Chris Cooper', 'Daniel Webber', 'Sarah Gadon', 'Cherry Jones', 'Leon Rippy', 'Lucy Fry', 'George MacKay', 'Josh Duhamel', ""Annette O'Toole"", ""Michael O'Neill"", 'Joanna Douglas', 'Stephen King', 'Kristian Bruun']",James Franco,30000000.0,0.0,0.0
Mulholland Drive,2001-05-16,2001,18.184056,1517.0,7.7,"['Naomi Watts', 'Laura Harring', 'Ann Miller', 'Dan Hedaya', 'Justin Theroux', 'Brent Briscoe', 'Robert Forster', 'Katharine Towne', 'Lee Grant', 'Scott Coffey', 'Billy Ray Cyrus', 'Chad Everett', 'Rita Taggart', 'James Karen', 'Lori Heuring', 'Angelo Badalamenti', 'Michael Des Barres', 'Marcus Graham', 'Missy Crider', 'Robert Katims', 'Jeanne Bates', 'Dan Birnbaum', 'Randall Wulff', 'Maya Bond', 'Patrick Fischler', 'Michael Cooke', 'Bonnie Aarons', 'Michael J. Anderson', 'Joseph Kearney', 'Enrique Buelna', 'Richard Mead', 'Sean Everett', 'Daniel Rey', 'David Schroeder', 'Tom Morris', 'Melissa George', 'Mo Gallini', 'Mark Pellegrino', 'Vincent Castellanos', 'Diane Nelson', 'Charles Croughwell', 'Rena Riffel', 'Tad Horino', 'Tony Longo', 'Geno Silva', 'Monty Montgomery', 'Kate Forster', 'Wayne Grace', 'Michele Hicks', 'Lisa K. Ferguson', 'William Ostrander', 'Lisa Lackey', 'Brian Beacock', 'Blake Lindsley', 'Adrien Curry', 'Tyrah M. Lindsey', 'Michael D. Weatherred', 'Michael Fairman', 'Johanna Stein', 'Richard Green', 'Conte Candoli', 'Cori Glazer', 'Rebekah Del Rio', 'Lyssie Powell', 'Kimberly Clever', 'Joshua Collazo', 'David Frutos', 'Peter Loggins', 'Theresa Salazar', 'Thea Samuels', 'Christian Thompson']",David Lynch,15000000.0,20117339.0,1.3411559333333334
The Great Outdoors,1988-06-17,1988,11.666172,155.0,6.4,"['John Candy', 'Dan Aykroyd', 'Annette Bening', 'Stephanie Faracy', 'Chris Young', 'Ian Giatti', 'Hilary Gordon', 'Rebecca Gordon', 'Robert Prosky', 'Zoaunne LeRoy', 'Lucy Deakins', 'Nancy Lenehan', 'Lewis Arquette']",Howard Deutch,24000000.0,43455230.0,1.8106345833333333
Santa Claus: The Movie,1985-10-29,1985,11.690532,58.0,6.1,"['Dudley Moore', 'John Lithgow', 'David Huddleston', 'Burgess Meredith', 'Judy Cornwell', 'Jeffrey Kramer', 'Christian Fitzpatrick', 'Carrie Kei Heim', 'John Barrard', ""Anthony O'Donnell"", 'Melvyn Hayes', 'Don Estelle', 'Tim Stern', 'Christopher Ryan', ""Peter O'Farrell"", 'Dickie Arnold']",Jeannot Szwarc,50000000.0,23717291.0,0.47434582
Platoon,1986-12-18,1986,18.206972,1236.0,7.5,"['Tom Berenger', 'Charlie Sheen', 'Willem Dafoe', 'Forest Whitaker', 'John C. McGinley', 'Kevin Dillon', 'Johnny Depp', 'Francesco Quinn', 'Richard Edson', 'Keith David', 'Mark Moses', 'Chris Pedersen', 'Oliver Stone', 'Corkey Ford', 'Corey Glover', 'Bob Orwig', 'David Neidorf', 'Tony Todd', 'Kevin Eshelman', 'James Terry McIlvain', 'Ivan Kane', 'Paul Sanchez', 'Dale Dye', 'Nick Nicholson', 'Warren McLean', 'H. Gordon Boos', 'Brad Cassini', ""Robert 'Rock' Galotti"", 'Eric Hahn', 'Henry Strzalkowski', 'Reggie Johnson']",Oliver Stone,6000000.0,138530565.0,23.0884275
The Specialist,1994-10-07,1994,10.388183,317.0,5.5,"['Sylvester Stallone', 'Sharon Stone', 'James Woods', 'Rod Steiger', 'Eric Roberts', 'Mario Ernesto Sánchez', 'Sergio Doré Jr.', 'Chase Randolph', 'Jeana Bell', 'Brittany Paige Bouck', 'Emilio Estefan', 'LaGaylia Frazier']",Luis Llosa,45000000.0,170362582.0,3.7858351555555556
Harriet the Spy,1996-07-10,1996,4.086563,47.0,5.7,"['Michelle Trachtenberg', ""Rosie O'Donnell"", 'J. Smith-Cameron', 'Eartha Kitt', 'Vanessa Lee Chester', 'Gregory Smith', 'Robert Joy']",Bronwen Hughes,12000000.0,0.0,0.0
Look Who's Talking,1989-10-12,1989,5.795045,546.0,5.8,"['John Travolta', 'Kirstie Alley', 'Olympia Dukakis', 'George Segal', 'Bruce Willis', 'Abe Vigoda', 'Jacob Haines', 'Jaryd Waterhouse']",Amy Heckerling,7500000.0,296000000.0,39.46666666666667
Blue Streak,1999-09-17,1999,6.229424,359.0,6.1,"['Martin Lawrence', 'Luke Wilson', 'Dave Chappelle', 'Peter Greene', 'Nicole Ari Parker', 'William Forsythe', 'Graham Beckel', 'Robert Miranda', 'Olek Krupa', 'Saverio Guerra', 'Tamala Jones', 'John Hawkes', ""Billy 'Sly' Williams"", 'Brandon de Paul', 'Richard C. Sarafian', 'Julio Oscar Mechoso', 'Steve Rankin', 'Carmen Argenziano', 'Frank Medrano', 'Octavia Spencer', 'Timothy Dale Agee', 'Bayani Ison', 'Scott Sowers', 'Christopher Stapleton', 'Eddy Donno', 'Troy Gilbert', 'Kenny Endoso', 'Googy Gress', 'Robert LaSardo', 'Bill Ferrell', ""Billy 'Sly' Williams"", 'Greg Montgomery', 'Jason Kravits', 'Eidan Hanzei', 'James W. Gavin', 'Anne Marie Howard', 'Jane Carr', 'Amy Oberer', 'Ash Winfield', 'Erik Rondell', 'J. Kenneth Campbell', 'Joel Hurt Jones', 'Darryl Brunson', 'Shawn Elaine Brown Chiquette', 'Christian Christiansen', 'Michael Grasso', 'John McCarthy', 'Jeff Xander', 'Damian Foster', 'Yetta Ginsburg', 'Daniel Rogerson']",Les Mayfield,65000000.0,117758500.0,1.8116692307692308
Madonna: Truth or Dare,1991-05-10,1991,1.325299,32.0,6.3,"['Madonna', 'Al Pacino', 'Kevin Costner', 'Antonio Banderas', 'Donna DeLory', 'Warren Beatty', 'Niki Harris', 'Luis Camacho']",Alek Keshishian,4.0,29.0,7.25
